txn_id,ring_id,pattern_type,is_planted
TXN0050001,RING_SMURF_000,smurfing,True
TXN0050002,RING_SMURF_000,smurfing,True
TXN0050003,RING_SMURF_000,smurfing,True
TXN0050004,RING_SMURF_000,smurfing,True
TXN0050005,RING_SMURF_000,smurfing,True
TXN0050006,RING_SMURF_000,smurfing,True
TXN0050007,RING_SMURF_000,smurfing,True
TXN0050008,RING_SMURF_000,smurfing,True
TXN0050009,RING_SMURF_000,smurfing,True
TXN0050010,RING_SMURF_000,smurfing,True
TXN0050011,RING_SMURF_000,smurfing,True
TXN0050012,RING_SMURF_001,smurfing,True
TXN0050013,RING_SMURF_001,smurfing,True
TXN0050014,RING_SMURF_001,smurfing,True
TXN0050015,RING_SMURF_001,smurfing,True
TXN0050016,RING_SMURF_001,smurfing,True
TXN0050017,RING_SMURF_001,smurfing,True
TXN0050018,RING_SMURF_001,smurfing,True
TXN0050019,RING_SMURF_001,smurfing,True
TXN0050020,RING_SMURF_001,smurfing,True
TXN0050021,RING_SMURF_001,smurfing,True
TXN0050022,RING_SMURF_001,smurfing,True
TXN0050023,RING_SMURF_001,smurfing,True
TXN0050024,RING_SMURF_001,smurfing,True
TXN0050025,RING_SMURF_001,smurfing,True
TXN0050026,RING_SMURF_001,smurfing,True
TXN0050027,RING_SMURF_001,smurfing,True
TXN0050028,RING_SMURF_002,smurfing,True
TXN0050029,RING_SMURF_002,smurfing,True
TXN0050030,RING_SMURF_002,smurfing,True
TXN0050031,RING_SMURF_002,smurfing,True
TXN0050032,RING_SMURF_002,smurfing,True
TXN0050033,RING_SMURF_002,smurfing,True
TXN0050034,RING_SMURF_002,smurfing,True
TXN0050035,RING_SMURF_002,smurfing,True
TXN0050036,RING_SMURF_003,smurfing,True
TXN0050037,RING_SMURF_003,smurfing,True
TXN0050038,RING_SMURF_003,smurfing,True
TXN0050039,RING_SMURF_003,smurfing,True
TXN0050040,RING_SMURF_003,smurfing,True
TXN0050041,RING_SMURF_003,smurfing,True
TXN0050042,RING_SMURF_004,smurfing,True
TXN0050043,RING_SMURF_004,smurfing,True
TXN0050044,RING_SMURF_004,smurfing,True
TXN0050045,RING_SMURF_004,smurfing,True
TXN0050046,RING_SMURF_004,smurfing,True
TXN0050047,RING_SMURF_004,smurfing,True
TXN0050048,RING_SMURF_004,smurfing,True
TXN0050049,RING_SMURF_004,smurfing,True
TXN0050050,RING_SMURF_004,smurfing,True
TXN0050051,RING_SMURF_004,smurfing,True
TXN0050052,RING_SMURF_004,smurfing,True
TXN0050053,RING_SMURF_004,smurfing,True
TXN0050054,RING_SMURF_004,smurfing,True
TXN0050055,RING_SMURF_005,smurfing,True
TXN0050056,RING_SMURF_005,smurfing,True
TXN0050057,RING_SMURF_005,smurfing,True
TXN0050058,RING_SMURF_005,smurfing,True
TXN0050059,RING_SMURF_005,smurfing,True
TXN0050060,RING_SMURF_005,smurfing,True
TXN0050061,RING_SMURF_005,smurfing,True
TXN0050062,RING_SMURF_006,smurfing,True
TXN0050063,RING_SMURF_006,smurfing,True
TXN0050064,RING_SMURF_006,smurfing,True
TXN0050065,RING_SMURF_006,smurfing,True
TXN0050066,RING_SMURF_006,smurfing,True
TXN0050067,RING_SMURF_006,smurfing,True
TXN0050068,RING_SMURF_006,smurfing,True
TXN0050069,RING_SMURF_007,smurfing,True
TXN0050070,RING_SMURF_007,smurfing,True
TXN0050071,RING_SMURF_007,smurfing,True
TXN0050072,RING_SMURF_007,smurfing,True
TXN0050073,RING_SMURF_007,smurfing,True
TXN0050074,RING_SMURF_007,smurfing,True
TXN0050075,RING_SMURF_007,smurfing,True
TXN0050076,RING_SMURF_007,smurfing,True
TXN0050077,RING_SMURF_007,smurfing,True
TXN0050078,RING_SMURF_007,smurfing,True
TXN0050079,RING_SMURF_007,smurfing,True
TXN0050080,RING_SMURF_008,smurfing,True
TXN0050081,RING_SMURF_008,smurfing,True
TXN0050082,RING_SMURF_008,smurfing,True
TXN0050083,RING_SMURF_008,smurfing,True
TXN0050084,RING_SMURF_008,smurfing,True
TXN0050085,RING_SMURF_008,smurfing,True
TXN0050086,RING_SMURF_008,smurfing,True
TXN0050087,RING_SMURF_008,smurfing,True
TXN0050088,RING_SMURF_008,smurfing,True
TXN0050089,RING_SMURF_008,smurfing,True
TXN0050090,RING_SMURF_008,smurfing,True
TXN0050091,RING_SMURF_009,smurfing,True
TXN0050092,RING_SMURF_009,smurfing,True
TXN0050093,RING_SMURF_009,smurfing,True
TXN0050094,RING_SMURF_009,smurfing,True
TXN0050095,RING_SMURF_009,smurfing,True
TXN0050096,RING_SMURF_009,smurfing,True
TXN0050097,RING_SMURF_009,smurfing,True
TXN0050098,RING_SMURF_009,smurfing,True
TXN0050099,RING_SMURF_009,smurfing,True
TXN0050100,RING_SMURF_009,smurfing,True
TXN0050101,RING_SMURF_009,smurfing,True
TXN0050102,RING_SMURF_009,smurfing,True
TXN0050103,RING_SMURF_009,smurfing,True
TXN0050104,RING_SMURF_009,smurfing,True
TXN0050105,RING_SMURF_009,smurfing,True
TXN0050106,RING_SMURF_009,smurfing,True
TXN0050107,RING_SMURF_010,smurfing,True
TXN0050108,RING_SMURF_010,smurfing,True
TXN0050109,RING_SMURF_010,smurfing,True
TXN0050110,RING_SMURF_010,smurfing,True
TXN0050111,RING_SMURF_010,smurfing,True
TXN0050112,RING_SMURF_010,smurfing,True
TXN0050113,RING_SMURF_010,smurfing,True
TXN0050114,RING_SMURF_010,smurfing,True
TXN0050115,RING_SMURF_010,smurfing,True
TXN0050116,RING_SMURF_010,smurfing,True
TXN0050117,RING_SMURF_010,smurfing,True
TXN0050118,RING_SMURF_010,smurfing,True
TXN0050119,RING_SMURF_010,smurfing,True
TXN0050120,RING_SMURF_010,smurfing,True
TXN0050121,RING_SMURF_010,smurfing,True
TXN0050122,RING_SMURF_010,smurfing,True
TXN0050123,RING_SMURF_010,smurfing,True
TXN0050124,RING_SMURF_010,smurfing,True
TXN0050125,RING_SMURF_010,smurfing,True
TXN0050126,RING_SMURF_010,smurfing,True
TXN0050127,RING_SMURF_010,smurfing,True
TXN0050128,RING_SMURF_010,smurfing,True
TXN0050129,RING_SMURF_010,smurfing,True
TXN0050130,RING_SMURF_010,smurfing,True
TXN0050131,RING_SMURF_011,smurfing,True
TXN0050132,RING_SMURF_011,smurfing,True
TXN0050133,RING_SMURF_011,smurfing,True
TXN0050134,RING_SMURF_011,smurfing,True
TXN0050135,RING_SMURF_011,smurfing,True
TXN0050136,RING_SMURF_011,smurfing,True
TXN0050137,RING_SMURF_011,smurfing,True
TXN0050138,RING_SMURF_011,smurfing,True
TXN0050139,RING_SMURF_011,smurfing,True
TXN0050140,RING_SMURF_011,smurfing,True
TXN0050141,RING_SMURF_011,smurfing,True
TXN0050142,RING_SMURF_012,smurfing,True
TXN0050143,RING_SMURF_012,smurfing,True
TXN0050144,RING_SMURF_012,smurfing,True
TXN0050145,RING_SMURF_012,smurfing,True
TXN0050146,RING_SMURF_012,smurfing,True
TXN0050147,RING_SMURF_012,smurfing,True
TXN0050148,RING_SMURF_012,smurfing,True
TXN0050149,RING_SMURF_012,smurfing,True
TXN0050150,RING_SMURF_012,smurfing,True
TXN0050151,RING_SMURF_012,smurfing,True
TXN0050152,RING_SMURF_012,smurfing,True
TXN0050153,RING_SMURF_012,smurfing,True
TXN0050154,RING_SMURF_012,smurfing,True
TXN0050155,RING_SMURF_012,smurfing,True
TXN0050156,RING_SMURF_012,smurfing,True
TXN0050157,RING_SMURF_012,smurfing,True
TXN0050158,RING_SMURF_012,smurfing,True
TXN0050159,RING_SMURF_012,smurfing,True
TXN0050160,RING_SMURF_013,smurfing,True
TXN0050161,RING_SMURF_013,smurfing,True
TXN0050162,RING_SMURF_013,smurfing,True
TXN0050163,RING_SMURF_013,smurfing,True
TXN0050164,RING_SMURF_013,smurfing,True
TXN0050165,RING_SMURF_013,smurfing,True
TXN0050166,RING_SMURF_013,smurfing,True
TXN0050167,RING_SMURF_013,smurfing,True
TXN0050168,RING_SMURF_013,smurfing,True
TXN0050169,RING_SMURF_013,smurfing,True
TXN0050170,RING_SMURF_013,smurfing,True
TXN0050171,RING_SMURF_013,smurfing,True
TXN0050172,RING_SMURF_013,smurfing,True
TXN0050173,RING_SMURF_013,smurfing,True
