txn_id,sender_id,receiver_id,amount,txn_type,txn_timestamp,channel
TXN0006834,ACC0002444,ACC0001383,704.41,P2M,2026-08-01 08:03:20.100120,INTENT
TXN0034832,ACC0002416,ACC0000973,705.94,P2M,2026-08-01 08:03:40.847029,INTENT
TXN0012074,ACC0000676,ACC0002876,671.2,P2M,2026-08-01 08:06:35.194343,INTENT
TXN0016436,ACC0003159,ACC0003203,329.06,P2M,2026-08-01 08:08:33.484324,UPI_APP
TXN0012036,ACC0002524,ACC0000517,5286.35,P2P,2026-08-01 08:09:35.587824,QR
TXN0018629,ACC0003244,ACC0004460,1994.28,P2P,2026-08-01 08:11:37.165554,QR
TXN0028198,ACC0000903,ACC0000683,132.92,P2P,2026-08-01 08:11:40.003407,INTENT
TXN0049745,ACC0001890,ACC0004016,1619.5,P2P,2026-08-01 08:11:51.812055,UPI_APP
TXN0023759,ACC0003351,ACC0001629,561.54,P2P,2026-08-01 08:12:16.159053,UPI_APP
TXN0042736,ACC0003755,ACC0003626,1519.19,P2M,2026-08-01 08:13:42.673373,UPI_APP
TXN0022162,ACC0001189,ACC0003887,1007.2,P2P,2026-08-01 08:14:36.238478,UPI_APP
TXN0047807,ACC0001167,ACC0000610,406.15,P2P,2026-08-01 08:14:56.514552,INTENT
TXN0014531,ACC0001718,ACC0002193,1010.45,P2P,2026-08-01 08:15:16.512047,UPI_APP
TXN0029652,ACC0002066,ACC0002485,193.17,REFUND,2026-08-01 08:15:26.255618,INTENT
TXN0018171,ACC0004379,ACC0001570,1930.7,P2P,2026-08-01 08:16:28.767184,QR
TXN0038017,ACC0002571,ACC0000158,788.18,P2P,2026-08-01 08:16:30.453941,INTENT
TXN0000964,ACC0002434,ACC0000261,1589.06,P2P,2026-08-01 08:16:40.297272,UPI_APP
TXN0022989,ACC0000992,ACC0003302,1188.3,P2P,2026-08-01 08:16:59.339449,UPI_APP
TXN0002100,ACC0002410,ACC0003236,426.24,P2P,2026-08-01 08:17:31.072394,QR
TXN0049418,ACC0000666,ACC0002529,1951.67,P2P,2026-08-01 08:17:58.515672,QR
TXN0008070,ACC0001460,ACC0001900,874.72,P2P,2026-08-01 08:18:27.840276,UPI_APP
TXN0029011,ACC0004273,ACC0002725,2330.85,P2P,2026-08-01 08:18:31.942935,INTENT
TXN0038480,ACC0001661,ACC0003658,78.31,P2M,2026-08-01 08:18:35.838853,INTENT
TXN0046679,ACC0004447,ACC0002007,524.71,P2P,2026-08-01 08:18:53.727647,INTENT
TXN0041492,ACC0001725,ACC0003332,654.57,P2P,2026-08-01 08:20:02.748430,QR
TXN0040415,ACC0002805,ACC0000769,851.07,P2M,2026-08-01 08:21:11.815522,QR
TXN0021420,ACC0001609,ACC0002483,160.1,P2P,2026-08-01 08:21:12.403954,UPI_APP
TXN0011261,ACC0000950,ACC0002094,3080.23,P2M,2026-08-01 08:21:59.571692,QR
TXN0006494,ACC0000935,ACC0001322,287.69,P2P,2026-08-01 08:22:23.566197,QR
TXN0006711,ACC0001016,ACC0003353,1193.54,P2P,2026-08-01 08:22:28.135140,QR
TXN0029158,ACC0003510,ACC0004316,5141.71,P2M,2026-08-01 08:22:52.199716,INTENT
TXN0005303,ACC0002409,ACC0000736,1109.76,P2P,2026-08-01 08:22:52.951922,INTENT
TXN0025186,ACC0001708,ACC0001305,2110.64,P2P,2026-08-01 08:22:56.668583,UPI_APP
TXN0030709,ACC0002545,ACC0001387,1163.93,P2P,2026-08-01 08:23:08.685937,INTENT
TXN0009772,ACC0000018,ACC0002807,190.82,P2P,2026-08-01 08:24:27.523187,QR
TXN0034198,ACC0004168,ACC0002155,469.9,P2P,2026-08-01 08:24:35.285828,QR
TXN0044727,ACC0003201,ACC0003620,757.28,P2P,2026-08-01 08:24:44.508857,INTENT
TXN0012946,ACC0001098,ACC0001310,690.04,P2P,2026-08-01 08:24:58.388118,INTENT
TXN0022686,ACC0002141,ACC0001814,86.36,P2P,2026-08-01 08:25:00.432162,INTENT
TXN0040453,ACC0001601,ACC0000443,447.86,P2M,2026-08-01 08:25:15.070808,QR
TXN0044248,ACC0003964,ACC0002492,204.24,P2P,2026-08-01 08:25:34.528256,UPI_APP
TXN0038876,ACC0001716,ACC0003900,2115.79,P2P,2026-08-01 08:25:58.988392,UPI_APP
TXN0024772,ACC0000281,ACC0000905,325.4,P2M,2026-08-01 08:26:09.629500,UPI_APP
TXN0019989,ACC0002686,ACC0003174,170.98,P2P,2026-08-01 08:26:09.743640,UPI_APP
TXN0000122,ACC0003782,ACC0003556,1158.09,P2P,2026-08-01 08:26:15.126425,INTENT
TXN0017671,ACC0002930,ACC0000392,329.6,P2P,2026-08-01 08:26:18.788451,UPI_APP
TXN0040675,ACC0000983,ACC0001036,366.2,P2P,2026-08-01 08:26:47.559596,QR
TXN0002598,ACC0000503,ACC0002418,126.71,P2M,2026-08-01 08:27:06.340160,UPI_APP
TXN0046301,ACC0002019,ACC0004010,1103.78,P2M,2026-08-01 08:27:13.654135,INTENT
